property_id,address,neighborhood,property_type,assessed_value,bedrooms,bathrooms,square_feet,year_built,lot_size,assessment_year
T1000,100 Sample Street,Downtown,Detached,972400,1,1,1262,1950,3000,2024
T1001,101 Sample Street,Midtown,Semi-Detached,646638,2,2,1065,1951,3050,2024
T1002,102 Sample Street,North York,Townhouse,900714,3,3,1332,1952,3100,2024
T1003,103 Sample Street,Etobicoke,Condo,964557,4,1,960,1953,3150,2024
T1004,104 Sample Street,Scarborough,Condo Townhouse,645326,1,2,1198,1954,3200,2024
T1005,105 Sample Street,The Beaches,Detached,822323,2,3,1312,1955,3250,2024
T1006,106 Sample Street,Leslieville,Semi-Detached,784708,3,1,1115,1956,3300,2024
T1007,107 Sample Street,King West,Townhouse,760376,4,2,1382,1957,3350,2024
T1008,108 Sample Street,Liberty Village,Condo,638421,1,3,1010,1958,3400,2024
T1009,109 Sample Street,Corktown,Condo Townhouse,637026,2,1,1248,1959,3450,2024
T1010,110 Sample Street,Downtown,Detached,982400,3,2,1362,1960,3500,2024
T1011,111 Sample Street,Midtown,Semi-Detached,656638,4,3,1165,1961,3550,2024
T1012,112 Sample Street,North York,Townhouse,910714,1,1,1432,1962,3600,2024
T1013,113 Sample Street,Etobicoke,Condo,974557,2,2,1060,1963,3650,2024
T1014,114 Sample Street,Scarborough,Condo Townhouse,655326,3,3,1298,1964,3700,2024
T1015,115 Sample Street,The Beaches,Detached,832323,4,1,1412,1965,3750,2024
T1016,116 Sample Street,Leslieville,Semi-Detached,794708,1,2,1215,1966,3800,2024
T1017,117 Sample Street,King West,Townhouse,770376,2,3,1482,1967,3850,2024
T1018,118 Sample Street,Liberty Village,Condo,648421,3,1,1110,1968,3900,2024
T1019,119 Sample Street,Corktown,Condo Townhouse,647026,4,2,1348,1969,3950,2024
T1020,120 Sample Street,Downtown,Detached,992400,1,3,1462,1970,4000,2024
T1021,121 Sample Street,Midtown,Semi-Detached,666638,2,1,1265,1971,4050,2024
T1022,122 Sample Street,North York,Townhouse,920714,3,2,1532,1972,4100,2024
T1023,123 Sample Street,Etobicoke,Condo,984557,4,3,1160,1973,4150,2024
T1024,124 Sample Street,Scarborough,Condo Townhouse,665326,1,1,1398,1974,4200,2024
T1025,125 Sample Street,The Beaches,Detached,842323,2,2,1512,1975,4250,2024
T1026,126 Sample Street,Leslieville,Semi-Detached,804708,3,3,1315,1976,4300,2024
T1027,127 Sample Street,King West,Townhouse,780376,4,1,1582,1977,4350,2024
T1028,128 Sample Street,Liberty Village,Condo,658421,1,2,1210,1978,4400,2024
T1029,129 Sample Street,Corktown,Condo Townhouse,657026,2,3,1448,1979,4450,2024
T1030,130 Sample Street,Downtown,Detached,1002400,3,1,1562,1980,4500,2024
T1031,131 Sample Street,Midtown,Semi-Detached,676638,4,2,1365,1981,4550,2024
T1032,132 Sample Street,North York,Townhouse,930714,1,3,1632,1982,4600,2024
T1033,133 Sample Street,Etobicoke,Condo,994557,2,1,1260,1983,4650,2024
T1034,134 Sample Street,Scarborough,Condo Townhouse,675326,3,2,1498,1984,4700,2024
T1035,135 Sample Street,The Beaches,Detached,852323,4,3,1612,1985,4750,2024
T1036,136 Sample Street,Leslieville,Semi-Detached,814708,1,1,1415,1986,4800,2024
T1037,137 Sample Street,King West,Townhouse,790376,2,2,1682,1987,4850,2024
T1038,138 Sample Street,Liberty Village,Condo,668421,3,3,1310,1988,4900,2024
T1039,139 Sample Street,Corktown,Condo Townhouse,667026,4,1,1548,1989,4950,2024
T1040,140 Sample Street,Downtown,Detached,1012400,1,2,1662,1990,5000,2024
T1041,141 Sample Street,Midtown,Semi-Detached,686638,2,3,1465,1991,5050,2024
T1042,142 Sample Street,North York,Townhouse,940714,3,1,1732,1992,5100,2024
T1043,143 Sample Street,Etobicoke,Condo,1004557,4,2,1360,1993,5150,2024
T1044,144 Sample Street,Scarborough,Condo Townhouse,685326,1,3,1598,1994,5200,2024
T1045,145 Sample Street,The Beaches,Detached,862323,2,1,1712,1995,5250,2024
T1046,146 Sample Street,Leslieville,Semi-Detached,824708,3,2,1515,1996,5300,2024
T1047,147 Sample Street,King West,Townhouse,800376,4,3,1782,1997,5350,2024
T1048,148 Sample Street,Liberty Village,Condo,678421,1,1,1410,1998,5400,2024
T1049,149 Sample Street,Corktown,Condo Townhouse,677026,2,2,1648,1999,5450,2024
T1050,150 Sample Street,Downtown,Detached,1022400,3,3,1762,2000,5500,2024
T1051,151 Sample Street,Midtown,Semi-Detached,696638,4,1,1565,2001,5550,2024
T1052,152 Sample Street,North York,Townhouse,950714,1,2,1832,2002,5600,2024
T1053,153 Sample Street,Etobicoke,Condo,1014557,2,3,1460,2003,5650,2024
T1054,154 Sample Street,Scarborough,Condo Townhouse,695326,3,1,1698,2004,5700,2024
T1055,155 Sample Street,The Beaches,Detached,872323,4,2,1812,2005,5750,2024
T1056,156 Sample Street,Leslieville,Semi-Detached,834708,1,3,1615,2006,5800,2024
T1057,157 Sample Street,King West,Townhouse,810376,2,1,1882,2007,5850,2024
T1058,158 Sample Street,Liberty Village,Condo,688421,3,2,1510,2008,5900,2024
T1059,159 Sample Street,Corktown,Condo Townhouse,687026,4,3,1748,2009,5950,2024
T1060,160 Sample Street,Downtown,Detached,1032400,1,1,1862,2010,6000,2024
T1061,161 Sample Street,Midtown,Semi-Detached,706638,2,2,1665,2011,6050,2024
T1062,162 Sample Street,North York,Townhouse,960714,3,3,1932,2012,6100,2024
T1063,163 Sample Street,Etobicoke,Condo,1024557,4,1,1560,2013,6150,2024
T1064,164 Sample Street,Scarborough,Condo Townhouse,705326,1,2,1798,2014,6200,2024
T1065,165 Sample Street,The Beaches,Detached,882323,2,3,1912,2015,6250,2024
T1066,166 Sample Street,Leslieville,Semi-Detached,844708,3,1,1715,2016,6300,2024
T1067,167 Sample Street,King West,Townhouse,820376,4,2,1982,2017,6350,2024
T1068,168 Sample Street,Liberty Village,Condo,698421,1,3,1610,2018,6400,2024
T1069,169 Sample Street,Corktown,Condo Townhouse,697026,2,1,1848,2019,6450,2024
T1070,170 Sample Street,Downtown,Detached,1042400,3,2,1962,1950,6500,2024
T1071,171 Sample Street,Midtown,Semi-Detached,716638,4,3,1765,1951,6550,2024
T1072,172 Sample Street,North York,Townhouse,970714,1,1,2032,1952,6600,2024
T1073,173 Sample Street,Etobicoke,Condo,1034557,2,2,1660,1953,6650,2024
T1074,174 Sample Street,Scarborough,Condo Townhouse,715326,3,3,1898,1954,6700,2024
T1075,175 Sample Street,The Beaches,Detached,892323,4,1,2012,1955,6750,2024
T1076,176 Sample Street,Leslieville,Semi-Detached,854708,1,2,1815,1956,6800,2024
T1077,177 Sample Street,King West,Townhouse,830376,2,3,2082,1957,6850,2024
T1078,178 Sample Street,Liberty Village,Condo,708421,3,1,1710,1958,6900,2024
T1079,179 Sample Street,Corktown,Condo Townhouse,707026,4,2,1948,1959,6950,2024
T1080,180 Sample Street,Downtown,Detached,1052400,1,3,2062,1960,7000,2024
T1081,181 Sample Street,Midtown,Semi-Detached,726638,2,1,1865,1961,7050,2024
T1082,182 Sample Street,North York,Townhouse,980714,3,2,2132,1962,7100,2024
T1083,183 Sample Street,Etobicoke,Condo,1044557,4,3,1760,1963,7150,2024
T1084,184 Sample Street,Scarborough,Condo Townhouse,725326,1,1,1998,1964,7200,2024
T1085,185 Sample Street,The Beaches,Detached,902323,2,2,2112,1965,7250,2024
T1086,186 Sample Street,Leslieville,Semi-Detached,864708,3,3,1915,1966,7300,2024
T1087,187 Sample Street,King West,Townhouse,840376,4,1,2182,1967,7350,2024
T1088,188 Sample Street,Liberty Village,Condo,718421,1,2,1810,1968,7400,2024
T1089,189 Sample Street,Corktown,Condo Townhouse,717026,2,3,2048,1969,7450,2024
T1090,190 Sample Street,Downtown,Detached,1062400,3,1,2162,1970,7500,2024
T1091,191 Sample Street,Midtown,Semi-Detached,736638,4,2,1965,1971,7550,2024
T1092,192 Sample Street,North York,Townhouse,990714,1,3,2232,1972,7600,2024
T1093,193 Sample Street,Etobicoke,Condo,1054557,2,1,1860,1973,7650,2024
T1094,194 Sample Street,Scarborough,Condo Townhouse,735326,3,2,2098,1974,7700,2024
T1095,195 Sample Street,The Beaches,Detached,912323,4,3,2212,1975,7750,2024
T1096,196 Sample Street,Leslieville,Semi-Detached,874708,1,1,2015,1976,7800,2024
T1097,197 Sample Street,King West,Townhouse,850376,2,2,2282,1977,7850,2024
T1098,198 Sample Street,Liberty Village,Condo,728421,3,3,1910,1978,7900,2024
T1099,199 Sample Street,Corktown,Condo Townhouse,727026,4,1,2148,1979,7950,2024
T1100,200 Sample Street,Downtown,Detached,1072400,1,2,2262,1980,8000,2024
T1101,201 Sample Street,Midtown,Semi-Detached,746638,2,3,2065,1981,8050,2024
T1102,202 Sample Street,North York,Townhouse,1000714,3,1,2332,1982,8100,2024
T1103,203 Sample Street,Etobicoke,Condo,1064557,4,2,1960,1983,8150,2024
T1104,204 Sample Street,Scarborough,Condo Townhouse,745326,1,3,2198,1984,8200,2024
T1105,205 Sample Street,The Beaches,Detached,922323,2,1,2312,1985,8250,2024
T1106,206 Sample Street,Leslieville,Semi-Detached,884708,3,2,2115,1986,8300,2024
T1107,207 Sample Street,King West,Townhouse,860376,4,3,2382,1987,8350,2024
T1108,208 Sample Street,Liberty Village,Condo,738421,1,1,2010,1988,8400,2024
T1109,209 Sample Street,Corktown,Condo Townhouse,737026,2,2,2248,1989,8450,2024
T1110,210 Sample Street,Downtown,Detached,1082400,3,3,2362,1990,8500,2024
T1111,211 Sample Street,Midtown,Semi-Detached,756638,4,1,2165,1991,8550,2024
T1112,212 Sample Street,North York,Townhouse,1010714,1,2,2432,1992,8600,2024
T1113,213 Sample Street,Etobicoke,Condo,1074557,2,3,2060,1993,8650,2024
T1114,214 Sample Street,Scarborough,Condo Townhouse,755326,3,1,2298,1994,8700,2024
T1115,215 Sample Street,The Beaches,Detached,932323,4,2,2412,1995,8750,2024
T1116,216 Sample Street,Leslieville,Semi-Detached,894708,1,3,2215,1996,8800,2024
T1117,217 Sample Street,King West,Townhouse,870376,2,1,2482,1997,8850,2024
T1118,218 Sample Street,Liberty Village,Condo,748421,3,2,2110,1998,8900,2024
T1119,219 Sample Street,Corktown,Condo Townhouse,747026,4,3,2348,1999,8950,2024
T1120,220 Sample Street,Downtown,Detached,1092400,1,1,2462,2000,9000,2024
T1121,221 Sample Street,Midtown,Semi-Detached,766638,2,2,2265,2001,9050,2024
T1122,222 Sample Street,North York,Townhouse,1020714,3,3,2532,2002,9100,2024
T1123,223 Sample Street,Etobicoke,Condo,1084557,4,1,2160,2003,9150,2024
T1124,224 Sample Street,Scarborough,Condo Townhouse,765326,1,2,2398,2004,9200,2024
T1125,225 Sample Street,The Beaches,Detached,942323,2,3,2512,2005,9250,2024
T1126,226 Sample Street,Leslieville,Semi-Detached,904708,3,1,2315,2006,9300,2024
T1127,227 Sample Street,King West,Townhouse,880376,4,2,2582,2007,9350,2024
T1128,228 Sample Street,Liberty Village,Condo,758421,1,3,2210,2008,9400,2024
T1129,229 Sample Street,Corktown,Condo Townhouse,757026,2,1,2448,2009,9450,2024
T1130,230 Sample Street,Downtown,Detached,1102400,3,2,2562,2010,9500,2024
T1131,231 Sample Street,Midtown,Semi-Detached,776638,4,3,2365,2011,9550,2024
T1132,232 Sample Street,North York,Townhouse,1030714,1,1,2632,2012,9600,2024
T1133,233 Sample Street,Etobicoke,Condo,1094557,2,2,2260,2013,9650,2024
T1134,234 Sample Street,Scarborough,Condo Townhouse,775326,3,3,2498,2014,9700,2024
T1135,235 Sample Street,The Beaches,Detached,952323,4,1,2612,2015,9750,2024
T1136,236 Sample Street,Leslieville,Semi-Detached,914708,1,2,2415,2016,9800,2024
T1137,237 Sample Street,King West,Townhouse,890376,2,3,2682,2017,9850,2024
T1138,238 Sample Street,Liberty Village,Condo,768421,3,1,2310,2018,9900,2024
T1139,239 Sample Street,Corktown,Condo Townhouse,767026,4,2,2548,2019,9950,2024
T1140,240 Sample Street,Downtown,Detached,1112400,1,3,2662,1950,10000,2024
T1141,241 Sample Street,Midtown,Semi-Detached,786638,2,1,2465,1951,10050,2024
T1142,242 Sample Street,North York,Townhouse,1040714,3,2,2732,1952,10100,2024
T1143,243 Sample Street,Etobicoke,Condo,1104557,4,3,2360,1953,10150,2024
T1144,244 Sample Street,Scarborough,Condo Townhouse,785326,1,1,2598,1954,10200,2024
T1145,245 Sample Street,The Beaches,Detached,962323,2,2,2712,1955,10250,2024
T1146,246 Sample Street,Leslieville,Semi-Detached,924708,3,3,2515,1956,10300,2024
T1147,247 Sample Street,King West,Townhouse,900376,4,1,2782,1957,10350,2024
T1148,248 Sample Street,Liberty Village,Condo,778421,1,2,2410,1958,10400,2024
T1149,249 Sample Street,Corktown,Condo Townhouse,777026,2,3,2648,1959,10450,2024
T1150,250 Sample Street,Downtown,Detached,1122400,3,1,2762,1960,10500,2024
T1151,251 Sample Street,Midtown,Semi-Detached,796638,4,2,2565,1961,10550,2024
T1152,252 Sample Street,North York,Townhouse,1050714,1,3,2832,1962,10600,2024
T1153,253 Sample Street,Etobicoke,Condo,1114557,2,1,2460,1963,10650,2024
T1154,254 Sample Street,Scarborough,Condo Townhouse,795326,3,2,2698,1964,10700,2024
T1155,255 Sample Street,The Beaches,Detached,972323,4,3,2812,1965,10750,2024
T1156,256 Sample Street,Leslieville,Semi-Detached,934708,1,1,2615,1966,10800,2024
T1157,257 Sample Street,King West,Townhouse,910376,2,2,2882,1967,10850,2024
T1158,258 Sample Street,Liberty Village,Condo,788421,3,3,2510,1968,10900,2024
T1159,259 Sample Street,Corktown,Condo Townhouse,787026,4,1,2748,1969,10950,2024
T1160,260 Sample Street,Downtown,Detached,1132400,1,2,2862,1970,11000,2024
T1161,261 Sample Street,Midtown,Semi-Detached,806638,2,3,2665,1971,11050,2024
T1162,262 Sample Street,North York,Townhouse,1060714,3,1,2932,1972,11100,2024
T1163,263 Sample Street,Etobicoke,Condo,1124557,4,2,2560,1973,11150,2024
T1164,264 Sample Street,Scarborough,Condo Townhouse,805326,1,3,2798,1974,11200,2024
T1165,265 Sample Street,The Beaches,Detached,982323,2,1,2912,1975,11250,2024
T1166,266 Sample Street,Leslieville,Semi-Detached,944708,3,2,2715,1976,11300,2024
T1167,267 Sample Street,King West,Townhouse,920376,4,3,2982,1977,11350,2024
T1168,268 Sample Street,Liberty Village,Condo,798421,1,1,2610,1978,11400,2024
T1169,269 Sample Street,Corktown,Condo Townhouse,797026,2,2,2848,1979,11450,2024
T1170,270 Sample Street,Downtown,Detached,1142400,3,3,2962,1980,11500,2024
T1171,271 Sample Street,Midtown,Semi-Detached,816638,4,1,2765,1981,11550,2024
T1172,272 Sample Street,North York,Townhouse,1070714,1,2,3032,1982,11600,2024
T1173,273 Sample Street,Etobicoke,Condo,1134557,2,3,2660,1983,11650,2024
T1174,274 Sample Street,Scarborough,Condo Townhouse,815326,3,1,2898,1984,11700,2024
T1175,275 Sample Street,The Beaches,Detached,992323,4,2,3012,1985,11750,2024
T1176,276 Sample Street,Leslieville,Semi-Detached,954708,1,3,2815,1986,11800,2024
T1177,277 Sample Street,King West,Townhouse,930376,2,1,3082,1987,11850,2024
T1178,278 Sample Street,Liberty Village,Condo,808421,3,2,2710,1988,11900,2024
T1179,279 Sample Street,Corktown,Condo Townhouse,807026,4,3,2948,1989,11950,2024
T1180,280 Sample Street,Downtown,Detached,1152400,1,1,3062,1990,12000,2024
T1181,281 Sample Street,Midtown,Semi-Detached,826638,2,2,2865,1991,12050,2024
T1182,282 Sample Street,North York,Townhouse,1080714,3,3,3132,1992,12100,2024
T1183,283 Sample Street,Etobicoke,Condo,1144557,4,1,2760,1993,12150,2024
T1184,284 Sample Street,Scarborough,Condo Townhouse,825326,1,2,2998,1994,12200,2024
T1185,285 Sample Street,The Beaches,Detached,1002323,2,3,3112,1995,12250,2024
T1186,286 Sample Street,Leslieville,Semi-Detached,964708,3,1,2915,1996,12300,2024
T1187,287 Sample Street,King West,Townhouse,940376,4,2,3182,1997,12350,2024
T1188,288 Sample Street,Liberty Village,Condo,818421,1,3,2810,1998,12400,2024
T1189,289 Sample Street,Corktown,Condo Townhouse,817026,2,1,3048,1999,12450,2024
T1190,290 Sample Street,Downtown,Detached,1162400,3,2,3162,2000,12500,2024
T1191,291 Sample Street,Midtown,Semi-Detached,836638,4,3,2965,2001,12550,2024
T1192,292 Sample Street,North York,Townhouse,1090714,1,1,3232,2002,12600,2024
T1193,293 Sample Street,Etobicoke,Condo,1154557,2,2,2860,2003,12650,2024
T1194,294 Sample Street,Scarborough,Condo Townhouse,835326,3,3,3098,2004,12700,2024
T1195,295 Sample Street,The Beaches,Detached,1012323,4,1,3212,2005,12750,2024
T1196,296 Sample Street,Leslieville,Semi-Detached,974708,1,2,3015,2006,12800,2024
T1197,297 Sample Street,King West,Townhouse,950376,2,3,3282,2007,12850,2024
T1198,298 Sample Street,Liberty Village,Condo,828421,3,1,2910,2008,12900,2024
T1199,299 Sample Street,Corktown,Condo Townhouse,827026,4,2,3148,2009,12950,2024
T1200,300 Sample Street,Downtown,Detached,1172400,1,3,3262,2010,13000,2024
T1201,301 Sample Street,Midtown,Semi-Detached,846638,2,1,3065,2011,13050,2024
T1202,302 Sample Street,North York,Townhouse,1100714,3,2,3332,2012,13100,2024
T1203,303 Sample Street,Etobicoke,Condo,1164557,4,3,2960,2013,13150,2024
T1204,304 Sample Street,Scarborough,Condo Townhouse,845326,1,1,3198,2014,13200,2024
T1205,305 Sample Street,The Beaches,Detached,1022323,2,2,3312,2015,13250,2024
T1206,306 Sample Street,Leslieville,Semi-Detached,984708,3,3,3115,2016,13300,2024
T1207,307 Sample Street,King West,Townhouse,960376,4,1,3382,2017,13350,2024
T1208,308 Sample Street,Liberty Village,Condo,838421,1,2,3010,2018,13400,2024
T1209,309 Sample Street,Corktown,Condo Townhouse,837026,2,3,3248,2019,13450,2024
T1210,310 Sample Street,Downtown,Detached,1182400,3,1,3362,1950,13500,2024
T1211,311 Sample Street,Midtown,Semi-Detached,856638,4,2,3165,1951,13550,2024
T1212,312 Sample Street,North York,Townhouse,1110714,1,3,3432,1952,13600,2024
T1213,313 Sample Street,Etobicoke,Condo,1174557,2,1,3060,1953,13650,2024
T1214,314 Sample Street,Scarborough,Condo Townhouse,855326,3,2,3298,1954,13700,2024
T1215,315 Sample Street,The Beaches,Detached,1032323,4,3,3412,1955,13750,2024
T1216,316 Sample Street,Leslieville,Semi-Detached,994708,1,1,3215,1956,13800,2024
T1217,317 Sample Street,King West,Townhouse,970376,2,2,3482,1957,13850,2024
T1218,318 Sample Street,Liberty Village,Condo,848421,3,3,3110,1958,13900,2024
T1219,319 Sample Street,Corktown,Condo Townhouse,847026,4,1,3348,1959,13950,2024
T1220,320 Sample Street,Downtown,Detached,1192400,1,2,3462,1960,14000,2024
T1221,321 Sample Street,Midtown,Semi-Detached,866638,2,3,3265,1961,14050,2024
T1222,322 Sample Street,North York,Townhouse,1120714,3,1,3532,1962,14100,2024
T1223,323 Sample Street,Etobicoke,Condo,1184557,4,2,3160,1963,14150,2024
T1224,324 Sample Street,Scarborough,Condo Townhouse,865326,1,3,3398,1964,14200,2024
T1225,325 Sample Street,The Beaches,Detached,1042323,2,1,3512,1965,14250,2024
T1226,326 Sample Street,Leslieville,Semi-Detached,1004708,3,2,3315,1966,14300,2024
T1227,327 Sample Street,King West,Townhouse,980376,4,3,3582,1967,14350,2024
T1228,328 Sample Street,Liberty Village,Condo,858421,1,1,3210,1968,14400,2024
T1229,329 Sample Street,Corktown,Condo Townhouse,857026,2,2,3448,1969,14450,2024
T1230,330 Sample Street,Downtown,Detached,1202400,3,3,3562,1970,14500,2024
T1231,331 Sample Street,Midtown,Semi-Detached,876638,4,1,3365,1971,14550,2024
T1232,332 Sample Street,North York,Townhouse,1130714,1,2,3632,1972,14600,2024
T1233,333 Sample Street,Etobicoke,Condo,1194557,2,3,3260,1973,14650,2024
T1234,334 Sample Street,Scarborough,Condo Townhouse,875326,3,1,3498,1974,14700,2024
T1235,335 Sample Street,The Beaches,Detached,1052323,4,2,3612,1975,14750,2024
T1236,336 Sample Street,Leslieville,Semi-Detached,1014708,1,3,3415,1976,14800,2024
T1237,337 Sample Street,King West,Townhouse,990376,2,1,3682,1977,14850,2024
T1238,338 Sample Street,Liberty Village,Condo,868421,3,2,3310,1978,14900,2024
T1239,339 Sample Street,Corktown,Condo Townhouse,867026,4,3,3548,1979,14950,2024
T1240,340 Sample Street,Downtown,Detached,1212400,1,1,3662,1980,15000,2024
T1241,341 Sample Street,Midtown,Semi-Detached,886638,2,2,3465,1981,15050,2024
T1242,342 Sample Street,North York,Townhouse,1140714,3,3,3732,1982,15100,2024
T1243,343 Sample Street,Etobicoke,Condo,1204557,4,1,3360,1983,15150,2024
T1244,344 Sample Street,Scarborough,Condo Townhouse,885326,1,2,3598,1984,15200,2024
T1245,345 Sample Street,The Beaches,Detached,1062323,2,3,3712,1985,15250,2024
T1246,346 Sample Street,Leslieville,Semi-Detached,1024708,3,1,3515,1986,15300,2024
T1247,347 Sample Street,King West,Townhouse,1000376,4,2,3782,1987,15350,2024
T1248,348 Sample Street,Liberty Village,Condo,878421,1,3,3410,1988,15400,2024
T1249,349 Sample Street,Corktown,Condo Townhouse,877026,2,1,3648,1989,15450,2024
